"","x"
"C3.Plants",1
"C4.Plants",1
"Navahoceros_fricki",1
"Tapirus_veroensis",1
"Mammut_americanum",1
"Mammuthus_columbi",1
"Platygonus_compressus",1
"Camelops_hesternus",1
"Paramylodon_harlani",1
"Seeds.Fruits",2
"Neotoma_sp",2
"Geomys_sp",2
"Sylvilagus_audubonii",2
"Sylvilagus_floridanus",2
"Antilocapra_americana",2
"Stockoceros_sp",2
"Odocoileus_sp",2
"Mustela_frenata",2
"Mustela_erminea",2
"Urocyon_cinereoargenteus",2
"Vulpes_vulpes",2
"Lynx_rufus_pleistocene",2
"Canis_latrans",2
"Canis_lupus",2
"Panthera_onca_pleistocene",2
"Canis_dirus",2
"Panthera_leo_atrox",2
"Perognathus_sp",2
"Reithrodontomys_sp",2
"Zapus_hudsonius",2
"Chaetodipus_hispidus",2
"Dipodomys_elator",2
"Spermophilus_sp",2
"Synaptomys_cooperi",2
"Microtus_sp",2
"Sigmodon_hispidus",2
"Cynomys_ludovicianus",2
"Equus_small",2
"Equus_large",2
"Bison_antiquus",2
"Mammuthus_primigenius",2
"Hemiauchenia_macrocephala",2
"Peromyscus_sp",2
"Spilogale_sp",2
"Mephitis_macroura",2
"Mephitis_mephitis",2
"Dasypus_bellus",2
"Ursus_americanus",2
"Arctodus_simus",2
"Insects",3
"Sorex_haydeni",3
"Sorex_longirostris",3
"Notiosorex_crawfordi",3
"Sorex_cinereus",3
"Cryptotis_parva",3
"Blarina_carolinensis",3
"Onychomys_leucogaster",3
"Scalopus_aquaticus",3
"Fish",4
