"","x"
"C3.Plants",1
"Antilocapra_americana",1
"Odocoileus_sp",1
"C4.Plants",2
"Seeds.Fruits",3
"Ursus_arctos",3
"Insects",4
"Notiosorex_crawfordi",4
"Cryptotis_parva",4
"Onychomys_leucogaster",4
"Fish",5
"Thomomys_sp",6
"Neotoma_sp",6
"Geomys_sp",6
"Cratogeomys_castanops",6
"Sylvilagus_audubonii",6
"Sylvilagus_floridanus",6
"Lepus_californicus_holocene",6
"Mustela_frenata",6
"Urocyon_cinereoargenteus",6
"Vulpes_vulpes",6
"Lynx_rufus_holocene",6
"Canis_latrans",6
"Canis_lupus",6
"Canis_familiaris",6
"Panthera_onca_holocene",6
"Baiomys_taylori",6
"Perognathus_sp",6
"Reithrodontomys_sp",6
"Chaetodipus_hispidus",6
"Spermophilus_sp",6
"Microtus_sp",6
"Sigmodon_hispidus",6
"Bison_bison",6
"Peromyscus_sp",6
"Procyon_lotor",6
